text
"⭐️Hollywood's Richard Gere is yet another wealthy Hollywood actor, actively promoting the mass immigration from third world countries while he is residing in a privileged rich gated community. 
https://t.co/GvW4sl4mQe"
Happy Heavenly Birthday to the legendary Janet Leigh. https://t.co/JD9FHACq5g
Onlyfans in 90s 💀😂 https://t.co/kNpcGIZEcT
"Let’s all welcome actor Michael Shannon to the list of HOLLYWOOD SCUM WHOSE WORK I WILL NEVER PATRONIZE AGAIN, BECAUSE THEY ARE TRUMP-HATING FASCISTS:

Adam Brody
Alec Baldwin
Dave Bautista
Garcelle Beauvais
Paul Bettany
Jack Black
Bryan Cranston
Don Cheadle
George Clooney
James Cromwell
Darren Criss
Matt Damon
Viola Davis
Robert De Niro
Minnie Driver
David Duchovny
Billy Eichner
Chris Evans
Mia Farrow
America Ferrera
Jane Fonda
Harrison Ford
Jennifer Garner
Whoopi Goldberg
Clark Gregg
Danai Gurira
Kathryn Hahn
Mark Hamill
Tom Hanks
Anne Hathaway
Ed Helms
Jennifer Aniston
Scarlett Johansson
Mindy Kaling
Jennifer Lawrence
John Leguizamo
Eva Longoria
Patti LuPone
Alyssa Milano
Chloë Grace Moretz
Julianne Moore
Rosie O’Donnell
Patton Oswalt
Ashley Park
Sarah Jessica Parker
Pedro Pascal
Rosie Perez
Natalie Portman
Julia Roberts
Tracee Ellis Ross
Mark Ruffalo
Zoe Saldaña
Octavia Spencer
Ben Stiller
Meryl Streep
Barbra Streisand
Kerry Washington
Jesse Williams
Noah Wyle

WHO DID I MISS?"
"Richard Gere, yet another wealthy Hollywood actor, actively promotes the mass immigration from third world countries while he himself is residing in a gated community. 

These Hollywood elites are truly evil. https://t.co/TAzjwk3Y7k"
"The death of Philip Seymour Hoffman is one of the biggest tragedies in Hollywood history. He truly was one of the finest actors to ever live.
 https://t.co/Ll58nQuq9P"
"🔥🚨BREAKING: Hollywood Actor Michael Shannon verbally  disrespected Donald Trump on the red carpet. 

Shannon: “He’s an idiot. He’s a total idiot. He’s not my president. I will never call him the President of the United States.” https://t.co/ajdI3P20C4"
Sweet Home Alabama first draft 💀 https://t.co/C50bkLUjyJ
"— it’s been 6 years without him. i knew he would’ve took young hollywood by storm after his disney era was over. may you continue to rest easy, cameron boyce. a disney channel king. 🕊️💐🩷 https://t.co/8fe5SczzNn"
Hollywood has failed us https://t.co/GorOyRIPZr
"Hollywood actress Charlize Theron, 49, brags about having a one night stand with a 26 year old. 

“I did just recently f*** a 26 year old and it was really f***ing amazing.” https://t.co/ALDdms7NwM"
"We love Lego, BUT this is a completely different level! https://t.co/imRg6ocdz8"
"AI IS GOING TO PUT HOLLYWOOD OUT OF BUSINESS 
 https://t.co/at07XFf8OY"
"🔥 The Marvels of Mzansi theme never stood a chance this year 😂😂. Hollywood Bets Durban July, consider this the slay of the day. ✨🇿🇦

Dressed by @dinmakod_atelier 
Shot by @jg_v_fotography 
Make up by @yolandamukondi 

#DurbanJuly #yolandamonyai https://t.co/t8HW4bcgWb"
"🚨BREAKING: Hollywood legend James Woods just said: ""Let’s face it. Donald Trump is a rough individual. He is vain, insensitive and raw. But he loves America more than any President in my lifetime.""

What's your reaction? https://t.co/pDiPJxL5Dq"
What is with these Hollywood retards? https://t.co/tZBYlmVapG
🔥🚨DEVELOPING: Hollywood actor Mel Gibson was blessed with Holy Water by an Orthodox monk on Mount Athos amid the announcement that Passion of The Christ 2 is releasing next year. https://t.co/ska3qL6pRk
"Do you support Mel Gibson’s plan to EXPOSE an elite pedophile ring operating at the heart of the Hollywood system?

YES or NO?

If YES, I will follow you back! 🇺🇸 https://t.co/PPt0b9IfVk"
"Until Hollywood figures out we just want to be entertained, not lectured, not shamed, not forced to embrace whatever horse shit agenda they’re pushing this week, they will continue to fail. https://t.co/OoAQOIrqKQ"
Happy Heavenly Birthday to the legendary Janet Leigh. https://t.co/JD9FHACq5g
"🔥🚨BREAKING: Hollywood Actor Michael Shannon verbally  disrespected Donald Trump on the red carpet. 

Shannon: “He’s an idiot. He’s a total idiot. He’s not my president. I will never call him the President of the United States.” https://t.co/ajdI3P20C4"
"⭐️Hollywood's Richard Gere is yet another wealthy Hollywood actor, actively promoting the mass immigration from third world countries while he is residing in a privileged rich gated community. 
https://t.co/GvW4sl4mQe"
"Okay, this Alien is absolutely AWESOME! https://t.co/xGpDzIGJML"
Onlyfans in 90s 💀😂 https://t.co/kNpcGIZEcT
"Let’s all welcome actor Michael Shannon to the list of HOLLYWOOD SCUM WHOSE WORK I WILL NEVER PATRONIZE AGAIN, BECAUSE THEY ARE TRUMP-HATING FASCISTS:

Adam Brody
Alec Baldwin
Dave Bautista
Garcelle Beauvais
Paul Bettany
Jack Black
Bryan Cranston
Don Cheadle
George Clooney
James Cromwell
Darren Criss
Matt Damon
Viola Davis
Robert De Niro
Minnie Driver
David Duchovny
Billy Eichner
Chris Evans
Mia Farrow
America Ferrera
Jane Fonda
Harrison Ford
Jennifer Garner
Whoopi Goldberg
Clark Gregg
Danai Gurira
Kathryn Hahn
Mark Hamill
Tom Hanks
Anne Hathaway
Ed Helms
Jennifer Aniston
Scarlett Johansson
Mindy Kaling
Jennifer Lawrence
John Leguizamo
Eva Longoria
Patti LuPone
Alyssa Milano
Chloë Grace Moretz
Julianne Moore
Rosie O’Donnell
Patton Oswalt
Ashley Park
Sarah Jessica Parker
Pedro Pascal
Rosie Perez
Natalie Portman
Julia Roberts
Tracee Ellis Ross
Mark Ruffalo
Zoe Saldaña
Octavia Spencer
Ben Stiller
Meryl Streep
Barbra Streisand
Kerry Washington
Jesse Williams
Noah Wyle

WHO DID I MISS?"
"— it’s been 6 years without him. i knew he would’ve took young hollywood by storm after his disney era was over. may you continue to rest easy, cameron boyce. a disney channel king. 🕊️💐🩷 https://t.co/8fe5SczzNn"
"The death of Philip Seymour Hoffman is one of the biggest tragedies in Hollywood history. He truly was one of the finest actors to ever live.
 https://t.co/Ll58nQuq9P"
"BREAKING: Hollywood megastar Charlize Theron enrages MAGA world by launching a scorching attack on Donald Trump’s fascist policies for destroying families and costing innocent lives at a “frightening rate.”

This is what public courage looks like…

“I think we might be the only people who did not get an invite to the Bezos wedding. But that’s OK because they suck and we’re cool,” Theron said at the Block Party for the Charlize Theron Africa Outreach Project (CTAOP).

CTAOP provides support for youth in Theron’s native country of South Africa. To date, the organization has helped over 4.5 million people and given roughly $15 million to South African organization.

The beloved movie star thanked the guests for “taking the time to be a part of this.”

“Especially when the world feels like it’s burning because it is,” she continued. “Here in Los Angeles, in the US and across the globe, we’re moving backwards fast.”

“Immigration policy has destroyed the lives of families, not criminals; women’s rights are becoming less and less every day. Queer and trans lives are increasingly being erased and gender-based violence is on the rise,” said Theron. “This isn’t just policy, it’s personal.”

The crowd erupted into applause at her remarks, prompting her to add: “Yeah, f*ck them!”

Not done there, the Academy Award winner slammed the deeply destructive cuts that alleged drug addict Elon Musk has rammed through with his DOGE initiatives by criticizing “foreign aid cuts [that] have brought HIV and AIDS programs in my home country of South Africa to an absolute standstill.”

